area_sqft,bedrooms,bathrooms,stories,garage_spaces,age_years,distance_to_city_km,school_rating,crime_rate,location,condition,has_pool,has_garden,price
1410.0,6,4,3,2.0,56.3,0.28,5.4,1.53,Suburban,Excellent,0,1,287621.0
1610.0,4,2,1,,34.8,6.24,,,Suburban,Good,0,1,279300.0
1409.0,3,3,1,1.0,2.0,3.93,2.2,0.27,Urban,Fair,1,1,334685.0
3004.0,4,3,2,0.0,26.0,0.85,4.5,5.87,Rural,Excellent,0,1,389894.0
1791.0,2,2,2,1.0,7.9,12.95,5.4,2.1,Rural,Fair,0,1,233745.0
1112.0,5,3,3,2.0,70.3,19.73,8.7,3.79,Suburban,Poor,0,1,168930.0
2335.0,3,2,2,2.0,9.6,11.3,5.0,3.96,Urban,Excellent,0,1,461884.0
1006.0,3,2,1,1.0,12.1,13.83,6.8,0.74,Rural,Excellent,0,0,154721.0
1936.0,4,3,2,1.0,11.3,1.95,6.9,1.88,Suburban,Good,1,1,343787.0
526.0,4,4,1,1.0,5.8,2.45,8.8,8.08,Suburban,Good,0,0,158523.0
937.0,2,1,2,2.0,1.2,1.87,8.8,0.23,Urban,Good,0,1,272488.0
1928.0,4,2,1,2.0,33.9,11.59,6.4,2.87,Suburban,Fair,0,1,317024.0
2280.0,3,2,1,2.0,24.3,23.64,5.6,8.19,Urban,Fair,0,0,347227.0
1911.0,4,3,2,2.0,2.3,10.09,5.3,0.89,Urban,Good,1,0,429882.0
1725.0,4,3,2,2.0,22.5,17.06,6.1,4.94,Suburban,Excellent,0,0,304704.0
1604.0,4,2,1,0.0,14.7,8.14,5.7,6.78,Urban,Poor,0,0,267082.0
839.0,4,3,1,1.0,7.9,3.92,7.5,3.44,Suburban,Good,0,0,220770.0
1332.0,3,2,2,3.0,4.4,4.44,7.3,0.66,Suburban,Poor,0,1,290035.0
1501.0,2,1,2,2.0,29.5,0.63,7.6,1.02,Urban,Good,0,1,360467.0
2487.0,4,3,1,2.0,18.1,0.26,8.8,0.09,Suburban,Good,0,1,440230.0
2023.0,3,2,1,2.0,11.9,9.51,9.9,4.45,Rural,Good,0,0,281363.0
654.0,3,2,1,1.0,14.1,4.62,6.7,4.74,Urban,Poor,0,1,182857.0
2011.0,3,2,3,2.0,1.4,6.43,8.5,2.5,Suburban,Good,0,1,366641.0
1550.0,2,1,2,2.0,9.6,6.53,5.9,1.09,Urban,Good,0,0,334366.0
1360.0,4,2,2,1.0,3.2,2.6,8.6,0.2,Suburban,Poor,0,1,246611.0
2198.0,2,2,2,2.0,3.5,5.17,8.4,3.5,Urban,Fair,0,1,424351.0
2470.0,4,3,1,2.0,16.2,5.09,8.3,3.24,Suburban,Good,1,0,450998.0
2405.0,3,2,2,1.0,36.3,3.93,6.7,6.09,Urban,Good,0,1,417622.0
1255.0,1,1,2,,7.8,13.75,,,Rural,Fair,0,1,153492.0
1599.0,3,3,1,1.0,3.5,4.8,4.0,4.41,Suburban,Good,0,0,250193.0
2015.0,1,1,1,2.0,15.7,7.4,6.4,3.43,Suburban,Excellent,0,1,363750.0
2434.0,3,1,2,1.0,30.7,18.07,9.3,2.49,Suburban,Poor,0,0,348116.0
1489.0,4,4,3,2.0,20.7,16.09,5.9,1.39,Suburban,Good,1,0,298911.0
1679.0,2,1,1,2.0,30.5,17.69,7.9,5.81,Suburban,Poor,1,1,243069.0
1081.0,4,2,2,1.0,11.5,2.52,8.0,2.63,Suburban,Poor,1,0,232591.0
1022.0,1,1,2,3.0,20.9,0.28,6.0,1.27,Suburban,Fair,0,1,216646.0
2328.0,3,2,1,3.0,2.3,2.42,8.9,0.22,Urban,Good,0,0,482578.0
2682.0,4,2,1,,6.4,2.61,,,Urban,Excellent,0,0,522641.0
1753.0,3,2,1,1.0,7.4,19.21,4.3,1.96,Suburban,Fair,0,0,277926.0
2452.0,2,1,2,3.0,10.7,8.38,4.9,0.81,Rural,Good,0,0,331299.0
2035.0,3,2,1,3.0,39.7,0.68,5.0,0.63,Urban,Good,0,0,347687.0
1381.0,3,3,1,0.0,31.1,1.16,7.1,1.87,Urban,Fair,0,1,272636.0
2035.0,4,2,2,0.0,2.2,1.35,7.0,0.47,Urban,Good,0,1,426530.0
2800.0,3,2,2,1.0,2.8,7.96,7.2,4.03,Rural,Good,0,1,363273.0
1777.0,4,3,1,3.0,6.6,10.64,7.6,1.66,Rural,Excellent,0,0,244721.0
2817.0,5,4,1,1.0,5.2,15.71,4.8,2.13,Suburban,Excellent,0,1,433162.0
400.0,3,1,2,2.0,14.3,22.59,4.3,0.4,Rural,Fair,0,1,113238.0
2334.0,5,4,2,2.0,35.0,1.8,7.2,0.98,Suburban,Good,0,0,414161.0
1857.0,3,3,2,0.0,49.2,2.97,5.4,1.32,Rural,Fair,0,0,220283.0
1606.0,6,4,1,2.0,15.9,2.2,3.7,4.13,Urban,Good,1,0,395764.0
1860.0,2,1,2,1.0,27.3,3.55,8.2,3.68,Urban,Excellent,1,0,394141.0
508.0,4,3,2,2.0,11.2,19.69,9.0,0.63,Suburban,Poor,0,1,155011.0
1657.0,3,2,2,1.0,3.5,6.85,9.3,2.39,Suburban,Good,0,1,305160.0
2032.0,3,2,2,2.0,11.2,10.72,6.8,0.7,Suburban,Good,0,1,354044.0
2761.0,4,2,1,2.0,12.1,5.39,7.6,10.0,Urban,Good,1,0,527551.0
1463.0,4,2,1,1.0,20.3,0.23,9.0,7.6,Suburban,Fair,0,0,231035.0
1274.0,1,1,2,0.0,3.7,0.53,5.3,2.07,Urban,Excellent,0,0,311683.0
1474.0,2,2,2,1.0,6.9,6.18,8.5,3.0,Urban,Good,1,1,344968.0
2395.0,4,2,2,1.0,6.8,10.15,7.0,4.04,Rural,Fair,0,0,319150.0
2014.0,4,4,1,2.0,48.1,1.94,8.1,3.19,Rural,Poor,1,1,268518.0
1456.0,6,3,3,2.0,8.8,10.24,6.8,3.01,Rural,Good,0,0,273960.0
2134.0,4,3,2,1.0,21.1,13.31,8.8,7.96,Suburban,Poor,0,1,294711.0
1863.0,6,5,1,2.0,20.8,4.25,6.9,2.27,Suburban,Fair,0,1,330383.0
2430.0,4,3,1,2.0,4.6,10.98,3.8,2.53,Suburban,Good,1,1,401233.0
1344.0,3,3,2,2.0,12.7,4.14,9.1,4.73,Urban,Good,1,0,344698.0
1587.0,2,1,2,1.0,33.7,9.07,4.8,2.77,Urban,Good,0,0,305695.0
1545.0,4,3,2,1.0,9.7,11.55,8.8,3.3,Urban,Good,0,0,375557.0
849.0,4,2,2,1.0,43.5,38.55,6.3,0.67,Rural,Good,0,1,62274.0
1992.0,1,1,1,2.0,3.6,3.39,8.6,1.16,Urban,Excellent,1,0,445421.0
1970.0,3,2,1,1.0,1.2,4.24,8.5,0.4,Rural,Fair,0,0,215820.0
1803.0,6,4,2,1.0,33.3,1.45,7.3,1.76,Suburban,Good,0,0,353523.0
1648.0,3,2,2,,28.2,1.83,,,Suburban,Excellent,0,0,317968.0
880.0,3,3,2,2.0,73.6,9.46,7.3,10.0,Urban,Good,0,1,150827.0
1527.0,3,1,2,1.0,17.1,19.92,2.9,2.36,Urban,Good,0,1,279480.0
1577.0,3,1,1,1.0,41.4,4.01,6.7,3.86,Rural,Fair,0,0,184299.0
1279.0,3,2,2,1.0,26.3,1.59,4.5,1.02,Urban,Good,1,1,293727.0
1695.0,3,2,1,1.0,27.9,2.68,6.8,4.45,Urban,Good,0,1,345456.0
2063.0,2,2,1,2.0,12.6,4.86,4.4,2.39,Urban,Good,0,0,385178.0
3026.0,4,2,1,1.0,7.2,2.75,4.4,2.98,Urban,Excellent,0,1,599258.0
1913.0,3,1,1,1.0,40.9,2.13,9.4,0.87,Urban,Poor,0,1,336149.0
1967.0,4,3,1,2.0,8.5,10.65,8.4,1.99,Suburban,Poor,1,0,322815.0
1752.0,5,3,1,1.0,11.6,0.2,6.5,2.51,Suburban,Poor,0,1,278824.0
553.0,3,1,1,1.0,8.9,6.2,6.8,2.22,Suburban,Good,1,0,131005.0
1783.0,4,3,1,2.0,12.5,12.63,6.1,6.17,Urban,Fair,0,0,359206.0
1839.0,3,2,2,1.0,9.5,2.48,7.5,5.71,Rural,Good,0,1,253017.0
3401.0,5,4,1,1.0,0.7,7.4,5.3,8.85,Suburban,Fair,1,1,535250.0
1675.0,3,2,1,0.0,32.1,8.84,8.3,2.75,Urban,Good,0,1,358066.0
1996.0,4,3,2,1.0,8.8,8.51,6.0,8.93,Suburban,Fair,1,0,317679.0
1777.0,4,3,2,2.0,13.3,4.72,5.7,4.47,Urban,Excellent,0,1,393436.0
1040.0,3,2,2,2.0,2.2,3.4,6.5,0.79,Suburban,Good,0,0,234397.0
2543.0,2,1,1,2.0,0.1,14.46,5.4,1.39,Suburban,Excellent,0,0,401595.0
2289.0,4,3,2,1.0,4.2,11.37,7.1,0.68,Rural,Good,0,0,351134.0
2314.0,4,3,1,1.0,18.3,3.1,5.5,0.01,Urban,Fair,0,0,469045.0
1209.0,3,2,1,2.0,1.6,0.87,7.3,0.52,Suburban,Fair,0,0,258098.0
2712.0,4,2,1,3.0,35.9,0.6,8.7,0.01,Urban,Excellent,1,1,600973.0
889.0,3,3,2,0.0,3.6,0.79,5.2,3.18,Suburban,Good,0,1,207293.0
2181.0,4,3,1,1.0,3.4,6.99,6.3,1.39,Suburban,Poor,0,1,357235.0
3224.0,2,1,1,1.0,3.0,0.42,7.3,0.94,Urban,Good,0,1,592105.0
1156.0,5,3,1,0.0,0.2,3.29,5.7,3.59,Suburban,Good,0,0,226382.0
1432.0,3,3,2,1.0,22.2,11.19,7.3,4.47,Suburban,Fair,0,1,261106.0
1865.0,3,1,2,,31.2,2.79,,,Rural,Fair,0,1,225262.0
1473.0,2,2,1,2.0,14.3,11.53,8.4,2.57,Urban,Excellent,0,0,324920.0
792.0,2,1,2,2.0,3.1,10.95,5.4,1.55,Rural,Poor,0,1,118792.0
1845.0,3,2,2,0.0,5.0,2.26,4.8,0.91,Rural,Fair,0,0,218460.0
1110.0,3,2,2,0.0,9.7,10.44,5.9,0.63,Rural,Fair,0,0,143614.0
2108.0,4,2,1,2.0,46.3,11.02,4.8,0.6,Suburban,Fair,0,0,305277.0
1202.0,1,1,2,1.0,4.3,4.05,7.5,1.32,Rural,Good,1,1,196590.0
2807.0,3,2,1,2.0,19.7,1.89,4.4,10.0,Suburban,Poor,0,1,375065.0
1291.0,3,2,2,1.0,8.7,5.89,10.0,0.0,Urban,Fair,0,0,300924.0
1591.0,1,1,1,2.0,5.3,20.35,8.8,0.55,Suburban,Excellent,0,1,270448.0
2329.0,2,1,1,1.0,9.1,8.16,6.5,0.52,Suburban,Fair,0,1,335919.0
1000.0,3,1,1,0.0,1.1,1.52,8.1,3.16,Rural,Good,0,1,149896.0
1948.0,3,2,2,1.0,24.0,9.18,3.6,1.09,Suburban,Good,0,0,300058.0
2650.0,3,3,1,1.0,4.2,4.46,10.0,1.53,Urban,Good,0,0,541039.0
755.0,3,2,2,1.0,19.4,7.16,5.4,0.4,Suburban,Excellent,0,1,163580.0
1920.0,4,2,1,2.0,1.1,10.6,6.3,1.3,Rural,Fair,0,0,261189.0
1969.0,1,1,2,1.0,46.5,5.79,3.2,0.27,Urban,Excellent,0,0,341954.0
2308.0,3,2,2,0.0,3.2,13.46,7.4,1.9,Urban,Good,0,0,421805.0
996.0,6,4,2,2.0,32.2,10.25,4.5,0.26,Suburban,Good,0,1,256047.0
942.0,3,3,2,2.0,24.9,7.64,6.7,3.91,Urban,Fair,0,1,213275.0
2139.0,4,3,2,3.0,51.6,1.31,5.5,2.09,Urban,Poor,0,0,369618.0
1993.0,3,2,1,2.0,9.7,14.46,4.6,3.22,Urban,Good,0,0,368705.0
1963.0,4,2,2,1.0,19.5,21.98,5.1,1.36,Rural,Excellent,1,1,247067.0
2025.0,4,4,1,2.0,6.9,1.18,6.9,1.2,Urban,Good,0,0,466939.0
1358.0,3,2,2,3.0,3.1,5.36,4.2,0.26,Suburban,Fair,0,0,237075.0
1951.0,6,3,2,2.0,8.8,2.4,5.2,1.86,Suburban,Fair,0,0,349238.0
1990.0,2,1,1,1.0,2.7,11.24,7.7,1.81,Rural,Good,0,0,270785.0
1336.0,1,1,1,1.0,60.3,10.23,10.0,1.58,Rural,Good,1,0,193688.0
3013.0,4,2,2,1.0,1.5,1.21,7.4,3.37,Suburban,Fair,0,1,460057.0
2108.0,4,2,2,2.0,13.3,16.77,4.8,4.47,Rural,Poor,0,1,239138.0
1026.0,2,2,3,2.0,14.8,1.6,5.8,3.47,Urban,Good,0,0,275289.0
2227.0,3,1,2,2.0,11.6,12.77,6.6,0.39,Suburban,Good,0,0,366079.0
1166.0,1,1,2,0.0,16.3,4.88,5.9,2.43,Suburban,Good,0,0,207573.0
2312.0,3,2,3,2.0,1.9,3.18,8.1,0.21,Urban,Excellent,0,1,497110.0
2553.0,4,2,1,2.0,12.1,1.38,6.9,2.97,Suburban,Good,0,0,413218.0
1267.0,3,2,1,1.0,5.1,1.47,8.1,1.2,Urban,Fair,0,0,289658.0
2426.0,3,2,2,2.0,42.2,8.68,5.9,0.36,Rural,Good,0,1,285271.0
2068.0,3,2,2,1.0,21.5,6.4,8.9,4.95,Suburban,Excellent,0,1,327810.0
2334.0,1,1,2,2.0,53.9,1.04,6.2,2.38,Suburban,Excellent,0,0,331746.0
3033.0,3,2,1,2.0,0.6,0.96,4.8,1.1,Urban,Excellent,0,0,615277.0
1640.0,4,3,1,2.0,5.0,0.6,10.0,0.08,Urban,Fair,0,1,397557.0
1310.0,6,5,1,2.0,3.3,10.89,3.2,1.93,Rural,Good,0,1,257648.0
1222.0,4,2,1,2.0,0.2,9.96,5.2,6.42,Suburban,Excellent,0,0,250984.0
1270.0,1,1,1,1.0,4.2,0.48,5.4,2.27,Rural,Good,0,1,175427.0
1750.0,5,3,2,1.0,17.0,6.57,10.0,8.91,Urban,Fair,0,1,386838.0
2022.0,4,2,1,2.0,3.9,0.71,9.8,0.37,Urban,Excellent,1,1,508709.0
1980.0,4,2,2,1.0,10.7,18.73,9.2,2.1,Suburban,Good,0,0,350526.0
2338.0,3,2,1,1.0,32.8,19.01,5.9,4.0,Suburban,Fair,0,1,296913.0
1808.0,3,2,2,2.0,17.8,9.58,10.0,1.86,Urban,Fair,0,1,390034.0
2745.0,3,1,1,2.0,7.5,20.85,7.2,0.24,Suburban,Good,0,0,432164.0
1628.0,2,2,1,1.0,7.0,13.35,8.3,2.19,Suburban,Good,0,1,288216.0
3568.0,3,2,1,1.0,9.1,14.11,6.8,2.37,Urban,Fair,0,0,584223.0
2207.0,3,2,3,1.0,2.9,6.75,6.4,3.26,Urban,Good,0,0,437811.0
1243.0,3,1,2,1.0,15.1,2.92,6.0,3.58,Suburban,Good,0,0,239519.0
1104.0,4,2,2,1.0,6.8,1.97,6.1,3.68,Suburban,Good,1,1,265518.0
2114.0,3,1,1,2.0,28.7,3.17,7.6,2.72,Suburban,Fair,0,0,330298.0
1655.0,2,2,3,1.0,21.2,7.92,7.2,0.61,Suburban,Good,0,1,308477.0
2264.0,6,5,1,1.0,14.1,1.52,6.4,1.29,Urban,Poor,0,1,454049.0
2108.0,5,3,1,1.0,6.8,2.39,9.2,3.74,Rural,Fair,0,0,277432.0
1753.0,4,2,2,3.0,3.5,5.05,1.2,7.67,Rural,Good,0,0,235796.0
1250.0,6,4,3,1.0,22.5,2.12,7.4,0.21,Suburban,Excellent,0,1,305509.0
815.0,3,2,1,0.0,10.0,7.11,7.8,1.92,Urban,Good,0,1,239899.0
1510.0,6,4,1,0.0,3.8,20.53,8.6,0.94,Suburban,Poor,0,0,247766.0
2357.0,2,1,3,2.0,3.3,11.03,6.4,0.64,Suburban,Good,1,0,416255.0
1939.0,3,2,1,2.0,2.7,8.78,6.9,1.76,Rural,Good,0,0,295765.0
990.0,3,1,1,1.0,22.5,6.99,8.3,2.33,Rural,Excellent,1,0,183766.0
1913.0,2,1,2,1.0,3.9,5.35,9.2,0.02,Rural,Excellent,0,0,285527.0
2050.0,2,2,2,0.0,11.2,1.65,6.0,3.79,Urban,Fair,0,0,357376.0
1225.0,4,2,2,2.0,9.0,18.01,7.0,4.29,Rural,Fair,1,0,178935.0
1900.0,4,2,3,2.0,13.0,2.29,9.5,8.42,Suburban,Fair,0,0,314680.0
1838.0,4,2,2,0.0,31.5,0.77,2.7,0.5,Rural,Good,1,1,287175.0
1057.0,2,1,1,0.0,30.3,11.09,5.3,2.26,Suburban,Poor,0,1,135377.0
2033.0,4,2,3,0.0,9.0,1.54,9.1,1.39,Urban,Fair,1,0,419795.0
2165.0,4,3,1,0.0,0.2,3.72,8.5,1.02,Suburban,Good,0,1,399144.0
2504.0,3,2,1,2.0,8.3,0.23,7.4,2.08,Urban,Fair,0,0,491294.0
2485.0,4,2,2,1.0,14.0,1.18,5.7,3.81,Suburban,Fair,1,1,411331.0
905.0,3,2,1,1.0,12.2,1.52,4.9,0.06,Rural,Good,0,1,193658.0
1190.0,3,2,1,1.0,15.8,0.45,5.4,8.72,Urban,Fair,0,1,252178.0
2135.0,5,4,1,3.0,2.5,8.55,9.3,4.15,Urban,Good,0,0,454591.0
2134.0,3,2,1,2.0,15.6,14.51,5.4,3.48,Urban,Excellent,0,1,406712.0
2135.0,3,1,2,1.0,3.0,3.74,6.7,3.57,Suburban,Fair,1,0,360923.0
4304.0,5,4,2,1.0,20.8,16.61,5.1,1.23,Rural,Good,0,0,477233.0
2171.0,4,3,3,1.0,6.2,1.92,8.0,3.48,Urban,Excellent,0,0,488156.0
2538.0,2,2,1,1.0,18.6,3.15,5.5,1.22,Urban,Excellent,0,1,456539.0
2420.0,2,1,1,0.0,0.7,1.31,6.3,5.72,Rural,Good,0,1,323498.0
2223.0,1,1,1,2.0,7.9,7.75,3.5,0.49,Rural,Good,0,0,287075.0
1595.0,4,3,1,2.0,18.3,4.36,3.6,0.86,Urban,Fair,0,1,341815.0
2293.0,3,2,1,2.0,3.9,7.6,6.5,2.0,Suburban,Good,0,0,366222.0
1298.0,2,1,2,1.0,23.8,11.47,4.1,0.96,Suburban,Excellent,0,0,224270.0
1646.0,6,5,3,2.0,14.9,6.31,10.0,1.38,Suburban,Good,1,1,374501.0
1485.0,3,2,3,2.0,13.3,7.9,2.8,1.7,Suburban,Good,0,0,242267.0
1853.0,3,1,1,0.0,6.5,21.9,5.1,4.85,Rural,Fair,0,0,196488.0
3305.0,3,2,2,1.0,9.9,2.84,6.5,1.85,Urban,Good,0,0,616260.0
586.0,4,2,1,1.0,13.6,3.56,5.8,1.13,Urban,Good,0,1,204198.0
2246.0,2,1,1,1.0,9.6,10.12,4.5,0.71,Suburban,Good,0,0,364877.0
752.0,3,2,2,1.0,18.0,7.56,4.8,1.31,Suburban,Poor,0,1,154330.0
1493.0,4,2,2,2.0,8.5,1.57,4.7,1.81,Rural,Good,0,0,245251.0
2508.0,3,2,1,1.0,3.4,3.77,6.0,3.43,Suburban,Good,0,1,378313.0
1842.0,3,2,1,3.0,3.6,5.05,10.0,0.32,Urban,Fair,0,0,393901.0
1099.0,3,2,1,0.0,0.1,4.35,6.6,0.63,Suburban,Fair,0,0,196107.0
1335.0,1,1,2,3.0,5.4,1.57,8.6,1.19,Suburban,Fair,0,1,251806.0
2242.0,2,1,2,1.0,20.7,20.66,7.4,1.12,Rural,Good,0,0,251580.0
1325.0,3,2,3,2.0,23.7,11.49,8.5,1.24,Suburban,Good,1,0,262782.0
1941.0,3,2,1,1.0,3.4,5.25,1.5,3.94,Suburban,Excellent,0,0,340359.0
1830.0,1,1,1,0.0,47.9,9.12,6.0,0.98,Suburban,Fair,1,0,254898.0
1376.0,4,2,2,2.0,10.5,18.21,8.9,1.74,Suburban,Excellent,0,0,297037.0
3194.0,6,4,2,1.0,37.3,1.17,5.5,2.44,Suburban,Good,0,1,479832.0
2212.0,4,2,1,2.0,18.4,2.31,9.7,0.66,Urban,Good,0,1,472461.0
484.0,5,3,2,2.0,19.2,6.26,9.2,3.17,Rural,Fair,1,0,159792.0
1921.0,3,2,2,1.0,1.3,12.84,5.7,1.98,Suburban,Fair,0,0,332423.0
1370.0,6,5,3,1.0,3.7,0.3,5.6,1.48,Suburban,Excellent,1,0,325481.0
2354.0,2,2,2,2.0,0.1,33.09,4.7,4.15,Rural,Fair,0,0,248665.0
1285.0,6,4,2,0.0,18.9,4.85,5.4,0.7,Rural,Fair,0,1,232201.0
1725.0,6,3,2,2.0,6.3,3.56,4.3,5.37,Rural,Fair,1,1,269415.0
2128.0,4,2,2,2.0,23.2,2.77,7.3,2.06,Rural,Excellent,1,0,305159.0
2363.0,6,5,1,0.0,6.2,1.53,3.9,2.35,Urban,Fair,0,0,448490.0
1020.0,4,2,1,0.0,25.7,12.55,7.6,5.2,Suburban,Fair,0,1,156390.0
1583.0,3,2,1,2.0,2.1,24.88,7.6,4.25,Suburban,Good,0,0,230478.0
1491.0,3,2,2,1.0,2.9,4.27,3.5,2.3,Urban,Good,0,0,321197.0
1375.0,4,2,1,1.0,6.3,24.36,9.3,3.5,Rural,Good,0,1,219737.0
2948.0,2,1,3,0.0,7.9,13.89,7.4,1.42,Suburban,Good,0,1,420635.0
2063.0,4,3,1,2.0,6.4,5.25,7.8,1.98,Suburban,Excellent,0,0,391439.0
980.0,6,3,1,0.0,21.6,8.97,5.1,0.16,Rural,Excellent,0,1,207981.0
2397.0,2,1,2,1.0,1.5,4.57,7.6,0.24,Urban,Good,1,0,490127.0
3179.0,4,2,1,2.0,6.5,6.54,8.5,4.42,Suburban,Fair,0,1,461059.0
2471.0,5,2,1,1.0,27.2,0.48,6.3,0.15,Suburban,Good,0,0,413443.0
812.0,5,4,1,,1.0,9.53,,,Urban,Fair,1,1,291347.0
1485.0,6,3,2,3.0,42.8,0.43,6.6,3.97,Urban,Fair,0,1,327759.0
2623.0,3,2,1,2.0,64.4,13.59,8.6,0.0,Rural,Excellent,0,0,301004.0
1340.0,6,4,2,2.0,1.4,13.94,7.0,0.83,Suburban,Excellent,0,1,323134.0
2088.0,4,2,2,1.0,5.2,2.16,7.6,2.19,Rural,Good,0,1,315483.0
2304.0,2,2,1,2.0,7.0,3.13,3.5,2.26,Suburban,Excellent,0,0,420631.0
1197.0,3,2,1,0.0,22.5,5.25,7.2,3.75,Urban,Excellent,0,1,283288.0
1761.0,4,3,1,0.0,13.6,7.26,5.2,1.76,Urban,Good,0,1,395511.0
400.0,3,1,2,1.0,15.5,2.71,5.0,1.78,Suburban,Good,0,1,137209.0
1134.0,4,3,1,1.0,21.3,7.18,9.6,3.23,Rural,Good,1,0,203964.0
1636.0,4,2,1,2.0,1.9,2.83,6.1,1.73,Urban,Fair,0,0,355981.0
989.0,2,1,2,1.0,26.9,0.46,4.7,2.34,Rural,Fair,0,0,110228.0
2861.0,4,3,2,2.0,18.3,0.2,5.9,5.7,Rural,Good,0,0,371710.0
870.0,4,3,1,2.0,12.9,0.85,4.2,1.28,Rural,Fair,0,0,119974.0
1514.0,3,3,1,2.0,33.1,12.57,9.1,1.22,Suburban,Fair,0,0,233039.0
1885.0,1,1,3,1.0,18.1,26.04,5.2,0.01,Rural,Fair,0,0,204134.0
2737.0,1,1,2,2.0,3.4,4.45,7.5,2.38,Suburban,Good,0,0,445040.0
867.0,3,1,2,1.0,8.4,5.75,8.9,0.08,Urban,Excellent,0,0,289915.0
2556.0,5,3,2,0.0,10.2,1.27,5.6,1.75,Urban,Good,0,1,515444.0
1807.0,3,2,2,3.0,0.9,6.41,7.5,4.08,Rural,Good,0,1,274821.0
1162.0,4,2,3,0.0,46.4,1.25,4.6,2.0,Urban,Excellent,1,0,301977.0
2100.0,3,2,3,,2.1,7.56,,,Suburban,Excellent,0,0,364037.0
1929.0,3,2,1,2.0,17.9,21.66,8.2,3.86,Urban,Good,0,0,362381.0
1410.0,4,2,2,1.0,10.6,1.74,6.2,0.79,Urban,Excellent,0,0,336721.0
1845.0,4,3,1,2.0,0.4,11.57,5.1,3.3,Urban,Good,0,0,382244.0
1550.0,2,1,1,1.0,38.8,0.2,6.3,2.36,Rural,Fair,0,1,180297.0
1874.0,3,2,2,1.0,28.6,3.77,5.9,0.47,Suburban,Fair,0,0,301398.0
2230.0,1,1,1,1.0,11.1,0.94,10.0,5.89,Rural,Good,0,1,297668.0
2831.0,3,2,3,1.0,3.9,3.48,4.3,0.56,Suburban,Good,1,0,485894.0
995.0,4,3,1,1.0,1.9,1.52,6.7,10.0,Rural,Good,1,0,192743.0
3186.0,2,1,2,2.0,6.8,3.74,6.5,0.02,Suburban,Good,0,1,500249.0
531.0,3,1,3,2.0,4.4,4.32,6.3,0.76,Suburban,Poor,1,1,194160.0
1701.0,3,2,3,3.0,10.6,2.86,6.3,0.56,Suburban,Poor,0,1,270632.0
2182.0,5,2,1,0.0,50.9,8.55,6.3,0.04,Suburban,Good,0,1,367894.0
1983.0,6,4,1,2.0,12.8,20.09,8.1,3.3,Rural,Fair,0,0,266468.0
